FULL_FIPS,id,name,address,zip_code,city,state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Metro/Micro Statistical Area Name,Metro/Micro Statistical Area Code,Metro/Micro Statistical Area Type,Combined Statistical Area Name,Combined Statistical Area Code
14000US21111010602,21,Louisville,4600 Shelbyville Road,40207,Louisville,KY,38.250209,-85.631518,1,rooftop,4600,Shelbyville Rd,Louisville,KY,Jefferson County,40207,US,"Metro Louisville,  LOJIC partners",2015,21,21111,2148000,010602,2000,2,"Louisville/Jefferson County, KY-IN",31140,metropolitan,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",350
14000US24003702701,22,Annapolis*,160 F Jennifer Road,21401,Annapolis,MD,38.989046,-76.540179,1,rooftop,160,Jennifer Rd,Annapolis,MD,Anne Arundel County,21401,US,Anne Arundel County,2015,24,24003,2401600,702701,1008,1,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548
14000US31109003708,23,Lincoln,"3120 Pine Lake Road, Suite R",68516,Lincoln,NE,40.742228,-96.674543,1,rooftop,3120,Pine Lake Rd,Lincoln,NE,Lancaster County,68516,US,Lincoln,2015,31,31109,3128000,003708,2016,2,"Lincoln, NE",30700,metropolitan,"Lincoln-Beatrice, NE",339
14000US44003022100,24,Warwick*,1000 Bald Hill Rd,2886,Warwick,RI,41.712701,-71.488009,1,rooftop,1000,Bald Hill Rd,Warwick,RI,Kent County,2886,US,Statewide,2015,44,44003,4474300,022100,3051,3,"Providence-Warwick, RI-MA",39300,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US18097320304,25,Indianapolis (Castleton),5473 East 82nd Street,46250,Indianapolis,IN,39.90382,-86.075201,1,rooftop,5473,E 82nd St,Indianapolis,IN,Marion County,46250,US,Statewide,2015,18,18097,1836000,320304,1004,1,"Indianapolis-Carmel-Anderson, IN",26900,metropolitan,"Indianapolis-Carmel-Muncie, IN",294
14000US29189217300,26,Brentwood,48 Brentwood Promenade Court,63144,Brentwood,MO,38.627386,-90.341305,1,rooftop,48,Brentwood Promenade Ct,Saint Louis,MO,St. Louis County,63144,US,St Louis,2015,29,29189,2999189,217300,2012,2,"St. Louis, MO-IL",41180,metropolitan,"St. Louis-St. Charles-Farmington, MO-IL",476
14000US22033002601,27,Baton Rouge,3535 Perkins Rd,70808,Baton Rouge,LA,30.421508,-91.153436,1,range_interpolation,3535,Perkins Rd,Baton Rouge,LA,East Baton Rouge Parish,70808,US,TIGER/Line® dataset from the US Census Bureau,2015,22,22033,2205000,002601,1032,1,"Baton Rouge, LA",12940,metropolitan,0,0
14000US39035194800,28,Woodmere,28809 Chagrin Blvd.,44122,Woodmere,OH,41.463296,-81.475446,1,rooftop,28809,Chagrin Blvd,Beachwood,OH,Cuyahoga County,44122,US,Cuyahoga,2015,39,39035,3904500,194800,1000,1,"Cleveland-Elyria, OH",17460,metropolitan,"Cleveland-Akron-Canton, OH",184
14000US42091200505,29,North Wales*,1430 Bethlehem Pike,19454,North Wales,PA,40.207552,-75.224739,1,range_interpolation,1430,Bethlehem Pike,North Wales,PA,Montgomery County,19454,US,TIGER/Line® dataset from the US Census Bureau,2015,42,42091,4255512,200505,2009,2,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428
14000US48029120702,30,San Antonio,350 East Basse Road,78209,San Antonio,TX,29.496724,-98.478089,1,rooftop,350,E Basse Rd,San Antonio,TX,Bexar County,78209,US,San Antonio,2015,48,48029,4865000,120702,1011,1,"San Antonio-New Braunfels, TX",41700,metropolitan,0,0
14000US48029191817,31,San Antonio (Sonterra Village),403 North Loop 1604 West,78209,San Antonio,TX,29.609268,-98.48944,0.5,range_interpolation,403,State Loop 1604,San Antonio,TX,Bexar County,78232,US,TIGER/Line® dataset from the US Census Bureau,2015,48,48029,4865000,191817,1064,1,"San Antonio-New Braunfels, TX",41700,metropolitan,0,0
14000US16001000100,32,Boise,300 S Capitol Blvd,83702,Boise,ID,43.613196,-116.203741,1,rooftop,300,S Capitol Blvd,Boise,ID,Ada County,83702,US,City of Boise,2015,16,16001,1608700,000100,2038,2,"Boise City, ID",14260,metropolitan,"Boise City-Mountain Home-Ontario, ID-OR",147
14000US23005000600,33,Portland,87 Marginal Way,4101,Portland,ME,43.664954,-70.260762,0.7,street_center,0,Marginal Way,Portland,ME,Cumberland County,4101,US,TIGER/Line® dataset from the US Census Bureau,2015,23,23005,2360545,000600,2001,2,"Portland-South Portland, ME",38860,metropolitan,"Portland-Lewiston-South Portland, ME",438
14000US27053025605,34,Bloomington,4270 W 78th St,55435,Bloomington,MN,44.858692,-93.340417,1,range_interpolation,4270,W 78th St,Minneapolis,MN,Hennepin County,55435,US,TIGER/Line® dataset from the US Census Bureau,2015,27,27053,2743000,025605,1004,1,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,metropolitan,"Minneapolis-St. Paul, MN-WI",378
14000US12115001804,35,Sarasota,4101 S Tamiami Trail,34231,Sarasota,FL,27.294852,-82.529962,1,rooftop,4101,S Tamiami Trl,Sarasota,FL,Sarasota County,34231,US,Sarasota,2015,12,12115,1264175,001804,2037,2,"North Port-Sarasota-Bradenton, FL",35840,metropolitan,"North Port-Sarasota, FL",412
14000US20091053301,36,Leawood*,4201 W 119th Street,66209,Leawood,KS,38.912558,-94.635891,1,rooftop,4201,W 119th St,Shawnee Mission,KS,Johnson County,66209,US,City of Olathe,2015,20,20091,2064575,053301,2017,2,"Kansas City, MO-KS",28140,metropolitan,"Kansas City-Overland Park-Kansas City, MO-KS",312
14000US34039036600,37,Westfield,155 Elm St.,7090,Westfield,NJ,40.652424,-74.349715,1,rooftop,155,Elm St,Westfield,NJ,Union County,7090,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",2015,34,34039,3479040,036600,1008,1,"New York-Newark-Jersey City, NY-NJ-PA",35620,metropolitan,"New York-Newark, NY-NJ-CT-PA",408
14000US12031014204,38,Jacksonville Beach,4180 S 3rd St,32250,Jacksonville Beach,FL,30.280143,-81.416506,0.33,place,0,0,Jacksonville Beach,FL,Duval County,32250,US,TIGER/Line® dataset from the US Census Bureau,2015,12,12031,1235050,014204,3006,3,"Jacksonville, FL",27260,metropolitan,"Jacksonville-St. Marys-Palatka, FL-GA",300
14000US21067002700,39,Lexington Wine & Spirits,2320 Nicholasville Rd,40503,Lexington,KY,38.004923,-84.51815,1,rooftop,2320,Nicholasville Rd,Lexington,KY,Fayette County,40503,US,Lexington Fayette,2015,21,21067,2146000,002700,3007,3,"Lexington-Fayette, KY",30460,metropolitan,"Lexington-Fayette--Richmond--Frankfort, KY",336
14000US13121011417,40,Roswell,635 W. Crossville Road,30075,Roswell,GA,34.057836,-84.379904,1,range_interpolation,635,W Crossville Rd,Roswell,GA,Fulton County,30075,US,TIGER/Line® dataset from the US Census Bureau,2015,13,13121,1367284,011417,3002,3,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US13219030200,41,Athens,1850 Epps Bridge Parkway,30606,Athens,GA,33.914278,-83.447872,1,range_interpolation,1850,Epps Bridge Pkwy,Athens,GA,Oconee County,30606,US,TIGER/Line® dataset from the US Census Bureau,2015,13,13219,1303432,030200,1000,1,"Athens-Clarke County, GA",12020,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US13135050309,42,Norcross,"5185 Peachtree Parkway, Bld. 1200",30092,Norcross,GA,33.969122,-84.207216,0.3,range_interpolation,5185,S Old Peachtree Rd,Norcross,GA,Gwinnett County,30092,US,TIGER/Line® dataset from the US Census Bureau,2015,13,13135,1355776,050309,4012,4,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US17043846206,43,Naperville,44 West Gartner Road,60540,Naperville,IL,41.754601,-88.140589,1,rooftop,44,W Gartner Rd,Naperville,IL,DuPage County,60540,US,Waco,2015,17,17043,1751622,846206,2004,2,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176
14000US25017353300,44,Cambridge,748 Memorial Drive,2139,Cambridge,MA,42.358076,-71.114273,1,rooftop,748,Memorial Dr,Cambridge,MA,Middlesex County,2139,US,City of Cambridge,2015,25,25017,2511000,353300,3004,3,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US25021400200,45,Brookline,1317 Beacon Street,2446,Brookline,MA,42.341923,-71.120503,1,rooftop,1317,Beacon St,Brookline,MA,Norfolk County,2446,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2015,25,25021,2509175,400200,2018,2,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US25017383600,46,Framingham,659 Worcester Road,1701,Framingham,MA,42.299163,-71.424777,1,rooftop,659,Worcester Rd,Framingham,MA,Middlesex County,1701,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT",2015,25,25017,2524925,383600,4009,4,"Boston-Cambridge-Newton, MA-NH",14460,metropolitan,"Boston-Worcester-Providence, MA-RI-NH-CT",148
14000US18097310104,47,Indianapolis (West 86,2902 West 86th Street,46268,Indianapolis,IN,39.912431,-86.210846,1,rooftop,2902,W 86th St,Indianapolis,IN,Marion County,46268,US,Statewide,2015,18,18097,1836000,310104,3024,3,"Indianapolis-Carmel-Anderson, IN",26900,metropolitan,"Indianapolis-Carmel-Muncie, IN",294
14000US48113013104,48,Dallas,7939 Walnut Hill Lane,75230,Dallas,TX,32.880897,-96.772235,1,rooftop,7939,Walnut Hill Ln,Dallas,TX,Dallas County,75230,US,Dallas,2015,48,48113,4819000,013104,1009,1,"Dallas-Fort Worth-Arlington, TX",19100,metropolitan,"Dallas-Fort Worth, TX-OK",206
14000US06037265202,49,Westwood,1000 Glendon Avenue,90024,Los Angeles,CA,34.062169,-118.44396,1,rooftop,1000,Glendon Ave,Los Angeles,CA,Los Angeles County,90024,US,Los Angeles County,2015,6,06037,644000,265202,3012,3,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US17031320600,50,Chicago (South Loop),1147 S. Wabash Ave.,60605,Chicago,IL,41.868064,-87.625352,1,rooftop,1147,S Wabash Ave,Chicago,IL,Cook County,60605,US,City of Chicago,2015,17,17031,1714000,320600,1009,1,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176
14000US17031070200,51,Chicago (Diversey Pkwy),667 W. Diversey Pkwy,60614,Chicago,IL,41.932438,-87.646227,1,rooftop,667,W Diversey Pkwy,Chicago,IL,Cook County,60614,US,City of Chicago,2015,17,17031,1714000,070200,1001,1,"Chicago-Naperville-Elgin, IL-IN-WI",16980,metropolitan,"Chicago-Naperville, IL-IN-WI",176
14000US06037800327,53,Agoura Hills,28941 Canwood Street,91301,Agoura Hills,CA,34.145684,-118.756928,0.8,range_interpolation,28941,Canwood St,Agoura Hills,CA,Los Angeles County,91301,US,TIGER/Line® dataset from the US Census Bureau,2015,6,06037,600394,800327,1007,1,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US06059062637,55,Aliso Viejo,26541 Aliso Creek Road,92656,Aliso Viejo,CA,33.575643,-117.723582,1,range_interpolation,26541,Aliso Creek Rd,Aliso Viejo,CA,Orange County,92656,US,TIGER/Line® dataset from the US Census Bureau,2015,6,06059,600947,062637,1006,1,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US08013012203,60,Boulder,1906 28th St,80301,Boulder,CO,40.020282,-105.258103,1,rooftop,1906,28th,Boulder,CO,Boulder County,80301,US,Statewide,2015,8,08013,807850,012203,4031,4,"Boulder, CO",14500,metropolitan,"Denver-Aurora, CO",216
14000US09001210800,62,Danbury,113 Mill Plain Rd.,6811,Danbury,CT,41.391765,-73.520927,1,range_interpolation,113,Mill Plain Rd,Danbury,CT,Fairfield County,6811,US,TIGER/Line® dataset from the US Census Bureau,2015,9,09001,918430,210800,3030,3,"Bridgeport-Stamford-Norwalk, CT",14860,metropolitan,"New York-Newark, NY-NJ-CT-PA",408
14000US06095252604,63,Fairfield,"1350 Gateway Blvd., Suite A1-A7",94533,Fairfield,CA,38.264243,-122.051738,1,rooftop,1350,Gateway Blvd,Fairfield,CA,Solano County,94533,US,Solano County,2015,6,06095,623182,252604,1006,1,"Vallejo-Fairfield, CA",46700,metropolitan,"San Jose-San Francisco-Oakland, CA",488
14000US06059099508,64,Huntington Harbor,16821 Algonquin St.,92649,Huntington Bch.,CA,33.718001,-118.050248,1,range_interpolation,16821,Algonquin St,Huntington Beach,CA,Orange County,92649,US,TIGER/Line® dataset from the US Census Bureau,2015,6,06059,636000,099508,2003,2,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US06037195100,68,Los Angeles (Silver Lake),2738 Hyperion Ave.,90027,Los Angeles,CA,34.107669,-118.271787,1,rooftop,2738,Hyperion Ave,Los Angeles,CA,Los Angeles County,90027,US,Los Angeles County,2015,6,06037,644000,195100,2000,2,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US09009157100,70,Orange,560 Boston Post Road,6477,Orange,CT,41.25234,-73.01908,1,range_interpolation,560,Boston Post Rd,Orange,CT,New Haven County,6477,US,TIGER/Line® dataset from the US Census Bureau,2015,9,09009,957600,157100,1030,1,"New Haven-Milford, CT",35300,metropolitan,"New York-Newark, NY-NJ-CT-PA",408
14000US06037463102,71,Pasadena (Hastings Ranch),467 Rosemead Blvd.,91107,Pasadena,CA,34.138456,-118.073445,1,range_interpolation,467,S Rosemead Blvd,Pasadena,CA,Los Angeles County,91107,US,TIGER/Line® dataset from the US Census Bureau,2015,6,06037,656000,463102,3010,3,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US06085507905,74,San Jose (Bollinger),7250 Bollinger Rd.,95129,San Jose,CA,37.311787,-122.030929,1,rooftop,7250,Bollinger Rd,San Jose,CA,Santa Clara County,95129,US,City of Cupertino,2015,6,06085,668000,507905,1000,1,"San Jose-Sunnyvale-Santa Clara, CA",41940,metropolitan,"San Jose-San Francisco-Oakland, CA",488
14000US04019003002,75,Tucson,1101 N. Wilmot Rd. Suite #147,85712,Tucson,AZ,32.23707,-110.858741,1,rooftop,1101,N Wilmot Rd,Tucson,AZ,Pima County,85712,US,Pima,2015,4,04019,477000,003002,3000,3,"Tucson, AZ",46060,metropolitan,"Tucson-Nogales, AZ",536
14000US04019002701,76,Tucson,4209 N. Campbell Ave.,85719,Tucson,AZ,32.283366,-110.944713,1,rooftop,4209,N Campbell Ave,Tucson,AZ,Pima County,85719,US,Pima,2015,4,04019,477000,002701,1000,1,"Tucson, AZ",46060,metropolitan,"Tucson-Nogales, AZ",536
14000US06059075603,77,Tustin,12932 Newport Avenue,92780,Tustin,CA,33.749571,-117.809873,1,rooftop,12932,Newport Ave,Tustin,CA,Orange County,92780,US,Orange County,2015,6,06059,680854,075603,3002,3,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US11001005500,78,Washington,1101 25th Street NW,20037,Washington,DC,38.904199,-77.053015,1,rooftop,1101,25th St NW,Washington,DC,District of Columbia,20037,US,City of Washington,2015,11,11001,1150000,005500,2010,2,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548
14000US06037700102,80,West Hollywood,7304 Santa Monica Blvd.,90046,West Hollywood,CA,34.090585,-118.348856,1,range_interpolation,7304,Santa Monica Blvd,Los Angeles,CA,Los Angeles County,90046,US,TIGER/Line® dataset from the US Census Bureau,2015,6,06037,644000,700102,2003,2,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348
14000US10003011202,81,Wilmington*,5605 Concord Pike,19803,Wilmington,DE,39.833935,-75.541897,1,rooftop,5605,Concord Pike,Wilmington,DE,New Castle County,19803,US,New Castle,2015,10,10003,1077580,011202,2015,2,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,metropolitan,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",428
14000US13121009603,82,Atlanta (Buckhead),3183 Peachtree Rd NE,30305,Atlanta,GA,33.840745,-84.374868,1,rooftop,3183,Peachtree Rd NE,Atlanta,GA,Fulton County,30305,US,City of Atlanta,2015,13,13121,1304000,009603,1002,1,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US13121001300,83,Atlanta (Midtown),"931 Monroe Dr., NE",30308,Atlanta,GA,33.779945,-84.368232,1,rooftop,931,Monroe Dr NE,Atlanta,GA,Fulton County,30308,US,City of Atlanta,2015,13,13121,1304000,001300,1007,1,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US13067030336,84,Marietta,4250 Roswell Road,30062,Marietta,GA,33.983308,-84.426217,1,rooftop,4250,Roswell Rd,Marietta,GA,Cobb County,30062,US,Cobb,2015,13,13067,1349756,030336,3015,3,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US13121010121,86,Sandy Springs,6277 Roswell Road NE,30328,Sandy Springs,GA,33.926217,-84.378323,0.8,rooftop,6277,Roswell Rd,Atlanta,GA,Fulton County,30328,US,City of Sandy Springs,2015,13,13121,1304000,010121,1006,1,"Atlanta-Sandy Springs-Roswell, GA",12060,metropolitan,"Atlanta--Athens-Clarke County--Sandy Springs, GA",122
14000US06075018000,91,San Francisco (9,555 9th Street,94103,San Francisco,CA,37.771028,-122.407314,1,rooftop,555,9th St,San Francisco,CA,San Francisco County,94103,US,San Francisco,2015,6,06075,667000,018000,2030,2,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488
14000US08041000302,94,Colorado Springs –,5342 N Nevada Ave,80918,Colorado Springs,CO,38.906882,-104.816728,1,range_interpolation,5342,N Nevada Ave,Colorado Springs,CO,El Paso County,80918,US,TIGER/Line® dataset from the US Census Bureau,2015,8,08041,816000,000302,2028,2,"Colorado Springs, CO",17820,metropolitan,0,0
14000US12011040702,95,Fort Lauderdale –,1590 N Federal Hwy,33304,Fort Lauderdale,FL,26.147451,-80.118671,0.9,rooftop,1590,N Federal Hwy,Fort Lauderdale,FL,Broward County,33305,US, Loveland,2015,12,12011,1224000,040702,1006,1,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,metropolitan,"Miami-Fort Lauderdale-Port St. Lucie, FL",370
14000US12103023800,96,St. Petersburg –,2742 4th St N,33704,St. Petersburg,FL,27.797437,-82.638959,1,rooftop,2742,4th St N,Saint Petersburg,FL,Pinellas County,33704,US,Pinellas,2015,12,12103,1263000,023800,2013,2,"Tampa-St. Petersburg-Clearwater, FL",45300,metropolitan,0,0
14000US04013116712,97,Ahwatukee,"4025 E. Chandler Blvd., Ste. 38",85048,Ahwatukee,AZ,33.305058,-111.995867,1,range_interpolation,4025,E Chandler Blvd,Phoenix,AZ,Maricopa County,85048,US,TIGER/Line® dataset from the US Census Bureau,2015,4,04013,455000,116712,2004,2,"Phoenix-Mesa-Scottsdale, AZ",38060,metropolitan,0,0
